Total Length of Bwd Packet,Flow Bytes/s,Total TCP Flow Time,Total Fwd Packet,Fwd IAT Std,Bwd Packet Length Std,Flow Duration,Average Packet Size
388.0,2429906.542056075,0,2,0.0,0.0,214,130.0
4205.0,40.61332292745582,117892348,14,22073183.28241992,685.1796133599587,117892348,177.33333333333334
120.0,1405405.4054054054,0,2,0.0,0.0,148,52.0
954.0,89.94944911232894,36998559,10,4922605.60093339,139.45222506981764,36998559,144.69565217391303
250.0,1728260.8695652173,0,2,0.0,0.0,184,79.5
113.0,300000.0,0,1,0.0,0.0,550,82.5
2266.0,535.3572059755078,5035890,5,2457206.816740148,1013.3860074029049,5035890,269.6
64.0,205.08224177677172,0,1,0.0,0.0,526618,54.0
0.0,0.0,5458992,4,3111827.596109881,0.0,5458992,0.0
54673.0,492.0161454758604,116630319,39,4585054.152351278,1110.0559887085124,116630319,675.1058823529412
0.0,0.0,6046579,4,3343966.290188394,0.0,6046579,0.0
183.0,2551.456266444933,0,1,0.0,0.0,87793,112.0
276.0,13935.845633709903,0,2,0.0,0.0,24254,84.5
194.0,2687.4496103198067,0,2,0.0,0.0,96746,65.0
248.0,843187.6606683804,0,2,0.0,0.0,389,82.0
4776.0,61.69806690732526,119906512,25,4819211.14809256,374.2492274013753,119906512,164.4
186.0,4966.7168147064285,0,1,0.0,0.0,48523,120.5
132.0,1104972.3756906076,0,2,0.0,0.0,181,50.0
103.0,6090.597639893414,0,1,0.0,0.0,23643,72.0
0.0,0.0,5835020,4,3307834.548115781,0.0,5835020,0.0
116.0,1136363.6363636365,0,2,0.0,0.0,176,50.0
264.0,4475.570842484771,0,2,0.0,0.0,72393,81.0
1076270.0,9341.484940458891,116655115,390,1685518.453891574,905.974015702854,116655115,1174.280172413793
27259.0,274.9169501136914,112386668,34,4663100.395376628,762.2389095966108,112386668,461.14925373134326
256.0,751.791490390716,0,2,0.0,0.0,417669,78.5
180.0,1368983.9572192514,0,2,0.0,0.0,187,64.0
112.0,1263157.894736842,0,2,0.0,0.0,152,48.0
859.0,15863.922194486502,73311,7,11846.0592772449,350.6852815084584,73311,89.46153846153847
254.0,6784313.725490196,0,2,0.0,0.0,51,86.5
242.0,2132.5230674880827,0,2,0.0,0.0,143492,76.5
0.0,0.0,1156466230,2,0.0,0.0,64094655,0.0
157.0,6.210163354620945,0,2,0.0,21.920310216782973,40256590,62.5
48.0,5780.694887697959,0,1,0.0,0.0,16607,48.0
330.0,2027777.7777777775,0,2,0.0,0.0,216,109.5
124.0,5918.111350551607,0,2,0.0,0.0,31091,46.0
6143.0,63.4286929555001,106718264,9,37681047.40957496,799.5908502339041,106718264,376.05555555555554
72.0,2566.51895815371,0,1,0.0,0.0,49873,64.0
336.0,1295950.1557632398,0,2,0.0,0.0,321,104.0
154.0,4228.061645138786,0,1,0.0,0.0,47303,100.0
136.0,5999.675693205772,0,1,0.0,0.0,30835,92.5
204.0,295384.6153846154,0,2,0.0,0.0,975,72.0
15392.0,138.7130306368213,116427418,26,4983384.877931202,814.0136014424658,116427418,316.6666666666667
288.0,15548.112310300625,0,2,0.0,0.0,24183,94.0
105.0,3042.4906745576927,0,1,0.0,0.0,47987,73.0
332.0,1719298.245614035,0,2,0.0,0.0,228,98.0
2963.0,4260.840746893969,926343,14,87807.02455056245,584.26582440823,926343,179.4090909090909
158.0,698113.2075471699,0,2,0.0,0.0,318,55.5
120.0,7515.586301135878,0,1,0.0,0.0,23418,88.0
112.0,1263157.894736842,0,2,0.0,0.0,152,48.0
5127.0,52.78537155808252,116623220,15,21105284.995233662,545.7338702544099,116623220,205.2
235.0,4577.182744021055,0,1,0.0,0.0,61173,140.0
3673.0,34.78480125440466,115251485,17,4453258.41235901,502.2838428852051,115251485,117.91176470588236
114.0,340080.9716599191,0,1,0.0,0.0,494,84.0
201.0,4014.148227358724,0,1,0.0,0.0,60785,122.0
276.0,6.475365099431174,115823585,17,4414366.532223237,73.76410276782913,115823585,24.193548387096776
0.0,0.0,5767080,5,2837084.022537695,0.0,5767080,0.0
22093.0,932.9010572526832,25581491,20,2922949.0550189447,991.7470179531912,25581491,582.0731707317074
3950.0,3547.4460752729487,1353368,11,127684.02071176415,569.9183195064805,1353368,218.22727272727272
172.0,1137614.6788990826,0,2,0.0,0.0,218,62.0
153.0,6360.925741871361,0,1,0.0,0.0,35215,112.0
158.0,7280.458733329038,0,2,0.0,0.0,31042,56.5
276.0,1246376.8115942029,0,2,0.0,0.0,276,86.0
246.0,13980.681240467717,0,2,0.0,0.0,23604,82.5
344.0,1383561.6438356163,0,2,0.0,0.0,292,101.0
167.0,8204.994627682088,0,1,0.0,0.0,30713,126.0
198.0,11187.176490232092,0,2,0.0,0.0,23956,67.0
181.0,4767.986377181779,0,1,0.0,0.0,46980,112.0
0.0,755.9316247652955,121325749,3,28990.670921867262,0.0,41009,6.2
100.0,1070063.694267516,0,2,0.0,0.0,157,42.0
193.0,2.7309839320783347,0,2,0.0,20.50609665440988,106921171,73.0
7628.0,71.79275088511699,115721990,23,5007753.262199733,640.5333640616939,115721990,188.8181818181818
860.0,24.516485121931225,0,4,23565134.6494216,183.597385602301,40870459,125.25
1232.0,21.675601788294053,115982939,21,4946666.089300959,258.7272013258025,115982939,66.15789473684211
111.0,7083.724502859093,0,1,0.0,0.0,23434,83.0
279.0,2611.91911162304,0,1,0.0,0.0,123281,161.0
578.0,14433.828013823948,0,4,17674.437482797955,0.0,49190,118.33333333333331
68.0,5081.30081300813,0,1,0.0,0.0,23616,60.0
18796.0,164.70073419119353,116071128,23,5003855.657520181,841.8321411339401,116071128,390.1428571428572
0.0,0.0,3448190,5,1010445.475345528,0.0,3448190,0.0
230.0,3003.4555886880603,0,1,0.0,0.0,92893,139.5
2266.0,16166.364846551456,166766,6,17678.444015240708,1013.3860074029049,166766,245.0909090909091
158.0,1726027.397260274,0,2,0.0,0.0,146,63.0
57062.0,532.5245629086828,117836818,43,4416036.354774809,1096.3195827554998,117836818,646.9175257731958
11774.0,1291.708943446044,10788034,19,2347566.852658207,550.0813124369865,10788034,366.7105263157895
186.0,3976.272733198618,0,1,0.0,0.0,61364,122.0
196.0,1117187.5,0,2,0.0,0.0,256,71.5
266.0,1495412.8440366972,0,2,0.0,0.0,218,81.5
114.0,1400000.0000000002,0,2,0.0,0.0,140,49.0
1090.0,219.0935845606436,8544294,8,1895549.6237549605,265.9327698784753,8544294,124.8
6634.0,6511.62725326126,1422993,42,157775.37879095093,307.9139788276718,1422993,105.29545454545456
48.0,2098.5441350063397,0,1,0.0,0.0,45746,48.0
3950.0,2530.088608435456,1897562,11,207546.4303602664,553.1948256731214,1897562,208.7391304347826
0.0,0.0,5718994,4,3260617.436783612,0.0,5718994,0.0
3687.0,403.7374108327553,11673429,11,3095949.244814529,1125.9008377421926,11673429,248.05263157894737
116.0,312159.7096188748,0,1,0.0,0.0,551,86.0
117.0,27.173326105693093,185502262,8,3223871.012834925,21.96132965009177,8611386,18.0
112.0,1280000.0,0,2,0.0,0.0,150,48.0
16642.0,207.71853695570923,112724653,36,4485278.442089905,741.4858234527896,112724653,334.5
122.0,2660.475622764636,0,2,0.0,0.0,79685,53.0
98.0,1071895.4248366014,0,2,0.0,0.0,153,41.0
122.0,1285714.285714286,0,2,0.0,0.0,140,45.0
7361.0,2536.219804885557,3209501,10,660513.8685991848,996.2938488886364,3209501,407.0
250.0,10247.816699429604,0,2,0.0,0.0,31031,79.5
306.0,15666.666666666666,0,2,0.0,0.0,24000,94.0
104.0,902564.1025641026,0,2,0.0,0.0,195,44.0
46.0,661870.5035971224,0,2,0.0,0.0,139,23.0
859.0,17521.361752676126,74081,5,12933.944036268804,384.1564785344639,74081,129.8
322.0,1723.7810271175597,0,4,17744.299403846107,0.0,265695,76.33333333333333
136.0,9492.32985846258,0,1,0.0,0.0,23598,112.0
145.0,198.1460170210357,0,1,0.0,0.0,1024497,101.5
180.0,3354.318076857636,0,2,0.0,0.0,82282,69.0
98.0,783.5792370613867,0,2,0.0,0.0,209296,41.0
264.0,17727.198117853037,0,2,0.0,0.0,18277,81.0
53654.0,7820.469653923104,7187420,27,977993.2347247468,888.300537230753,7187420,892.2063492063492
224.0,445652.17391304346,0,2,0.0,0.0,736,82.0
376.0,18619.34250446781,0,2,0.0,0.0,24061,112.0
180.0,2567.8576443918387,0,2,0.0,0.0,99694,64.0
176.0,1201.7470776843647,0,2,0.0,0.0,198045,59.5
5309.0,72.89060175367484,90642687,18,4761939.558635043,732.7116434047929,90642687,200.2121212121212
176.0,2445.150083533408,0,1,0.0,0.0,90383,110.5
168.0,3650.467716176135,0,2,0.0,0.0,61362,56.0
7104.0,298.0208859360592,26313592,14,3775452.9852627753,916.1748542916704,26313592,313.68
122.0,1277108.43373494,0,2,0.0,0.0,166,53.0
29239.0,260.44290453187153,116363316,27,4939032.52275864,995.0225024103878,116363316,505.1
2238.0,30.889147548167607,114959469,18,4661802.819569639,300.7222140115359,114959469,104.44117647058825
89.0,2311.52791995509,0,1,0.0,0.0,60566,70.0
768.0,11.70684617141107,115829659,19,4919547.534138223,131.16096980428287,115829659,38.74285714285714
336.0,2166666.6666666665,0,2,0.0,0.0,192,104.0
105.0,254545.45454545456,0,1,0.0,0.0,605,77.0
3938.0,38.272334006790935,118100976,12,23753336.465138644,552.1378012010692,118100976,188.33333333333331
220.0,9684.463714909643,0,2,0.0,0.0,31597,76.5
251.0,3.879971101555779,0,2,0.0,26.16295090390226,95361535,92.5
164.0,1114035.0877192982,0,2,0.0,0.0,228,63.5
2180.0,208.90866266009456,19817273,13,2267708.7208313607,268.3394503349453,19817273,165.6
126.0,1139896.3730569948,0,2,0.0,0.0,193,55.0
0.0,745204.8823016565,27528,19,5196.834681407747,0.0,27528,661.741935483871
5270.0,140.1457232232482,60715374,15,5143340.690640661,746.2064793943497,60715374,293.41379310344826
317.0,5878.661778790581,0,1,0.0,0.0,60558,178.0
130.0,2529.7503807532457,0,2,0.0,0.0,77478,49.0
11648.0,367.0407005422624,113872930,69,3378112.173344349,469.5633501854657,113872930,376.5405405405405
152.0,9571.767447667402,0,2,0.0,0.0,24029,57.5
259.0,65.86196067705838,15517303,6,4516169.151106057,105.73630723014053,15517303,85.16666666666667
216.0,138377.30214036835,0,2,0.0,0.0,2009,69.5
264.0,1862068.9655172413,0,2,0.0,0.0,174,81.0
46.0,40.50014079190956,180473770,6,1716750.7345990855,26.558112382722783,4172825,18.77777777777778
178.0,4813.674097946029,0,2,0.0,0.0,49027,59.0
191.0,131.49412445968815,6007873,7,2429145.2049656003,64.00130207008812,6007873,60.76923076923077
220.0,6254.530392461426,0,2,0.0,0.0,48285,75.5
316.0,11765.44214281244,0,2,0.0,0.0,31958,94.0
3776.0,21044.16525829244,196444,8,19102.202156769654,643.0649822751752,196444,258.375
3950.0,3829.282945576944,1215110,10,146361.40372465004,553.1948256731214,1215110,211.5
194.0,5223.339206135351,0,2,0.0,0.0,48245,63.0
102.0,1219858.1560283687,0,2,0.0,0.0,141,43.0
4789.0,94.7314519613518,61109588,15,5104659.467034252,669.606022430149,61109588,199.6206896551724
180.0,1474285.7142857143,0,2,0.0,0.0,175,64.5
264.0,2131578.947368421,0,2,0.0,0.0,152,81.0
0.0,0.0,5162174,4,2939192.6520256093,0.0,5162174,0.0
0.0,0.0,5908355,4,3343666.349147644,0.0,5908355,0.0
3728.0,878.9959982137545,5096724,10,1637290.5074337756,575.4979503952128,5096724,213.33333333333331
6880.0,1389.3055290420912,5280336,10,1698836.696892939,964.825928718374,5280336,349.3333333333333
405.0,4.867737360765751,0,2,0.0,21.920310216782973,105387773,128.25
3262.0,642.2756999600343,6017665,11,1752539.2090994555,655.74750149298,6017665,203.42105263157896
102.0,977272.7272727272,0,2,0.0,0.0,176,43.0
630.0,3750262.3294858346,0,2,0.0,0.0,953,893.5
7572.0,134.1861264945797,61042078,16,5086239.537656197,695.7780769418804,61042078,248.2121212121212
6954.0,7712.218309181533,1247112,44,153232.08271180393,307.38013413345925,1247112,106.86666666666666
118.0,7397.074985205851,0,1,0.0,0.0,23658,87.5
386.0,18858.477970627504,0,2,0.0,0.0,23968,113.0
179.0,937.1994179498352,0,1,0.0,0.0,243278,114.0
98.0,886486.4864864865,0,2,0.0,0.0,185,41.0
194.0,1250000.0,0,2,0.0,0.0,224,70.0
167.0,288329.5194508009,0,1,0.0,0.0,874,126.0
4535.0,37185.743862762494,135240,9,18186.21870498962,643.8958249075182,135240,264.6842105263158
94.0,939759.0361445784,0,2,0.0,0.0,166,39.0
320.0,15943.954583886944,0,4,18998.287957953824,0.0,33116,66.0
0.0,0.0,5702633,4,3231949.0749723045,0.0,5702633,0.0
0.0,0.0,2386703,4,1304225.6045916034,0.0,2386703,0.0
154.0,1145728.6432160805,0,2,0.0,0.0,199,57.0
8756.0,106.31830256165156,119283319,28,4868736.2906295,403.2717528747416,119283319,239.2830188679245
224.0,11626.974581027986,0,2,0.0,0.0,24942,72.5
202.0,2644.9718173692563,0,2,0.0,0.0,109642,72.5
296.0,15060.00470625147,0,4,17738.79835276336,0.0,38247,96.0
5856.0,880.5111045136026,10145244,10,3327963.1116641792,692.5122906687452,10145244,406.04545454545456
199.0,4.10389843709823,0,2,0.0,51.61879502661797,74319578,76.25
389.0,176.21604260435157,9215960,9,3063409.915183021,82.44987654846514,9215960,95.52941176470588
212.0,12536.322125363222,0,2,0.0,0.0,24090,75.5
102.0,955555.5555555556,0,2,0.0,0.0,180,43.0
200.0,11523.646133428285,0,4,14434.622763804164,0.0,30893,59.333333333333336
220.0,1752808.988764045,0,2,0.0,0.0,178,78.0
384.0,4861.694908387437,0,2,0.0,0.0,98731,120.0
580.0,2473282.442748091,0,2,0.0,0.0,262,162.0
98443.0,11083.200750546128,9394759,54,681495.0502584375,731.2028429896549,9394759,874.9915966386554
59.0,3283.8607900582724,0,1,0.0,0.0,31061,51.0
0.0,41333333.333333336,0,2,0.0,0.0,3,62.0
624.0,20309.49910594053,0,4,26070.25140525755,0.0,45299,115.0
172.0,4847.452630889409,0,4,10134.806625354691,0.0,61063,49.333333333333336
0.0,0.0,6047638,5,1970013.888959923,0.0,6047638,0.0
15829.0,168.35729811943557,115676601,30,4897345.503073944,720.9478870349132,115676601,335.7758620689655
0.0,0.0,2465341,4,1349715.440702348,0.0,2465341,0.0
213.0,2883.9221341023795,0,1,0.0,0.0,91542,132.0
73.0,2150.4664858069214,0,1,0.0,0.0,60452,65.0
163.0,429840.1420959148,0,1,0.0,0.0,563,121.0
4788.0,46698.75169198375,106384,7,26680.18531170027,1779.8238115049478,106384,414.0
109.0,2605.190719622493,0,1,0.0,0.0,61032,79.5
139.0,1290.6031465465844,0,1,0.0,0.0,142569,92.0
164385.0,2075.228860680455,80050448,68,9099526.187296083,822.9484581689372,80050448,1012.9451219512196
328.0,12986.591344436869,0,2,0.0,0.0,30801,100.0
46.0,40.34644465458549,180574562,6,1812569.7257197308,26.558112382722783,4188721,18.77777777777778
240.0,527.3862911207486,0,2,0.0,0.0,568843,75.0
7269.0,86.5211210623827,119993822,27,4844420.355414122,569.205511235761,119993822,188.76363636363635
4094.0,39.85631224707078,117446892,13,22715240.433281463,531.4523279872589,117446892,180.03846153846155
336.0,1971563.981042654,0,2,0.0,0.0,211,104.0
0.0,6.206306849019974,129205626,4,2863917.1378899915,0.0,4994919,5.166666666666667
484.0,22699.58319974351,0,4,17899.301727534887,0.0,31190,88.5
6531.0,115.01804851574272,116120906,23,4987378.176266793,515.4279195167752,116120906,284.17021276595744
330.0,5684.999353977347,0,2,0.0,0.0,69657,99.0
122.0,5044.186277430245,0,4,17907.96198156935,0.0,50355,42.333333333333336
2265.0,27141.55988295833,99110,5,19044.348617109485,1012.9387938074047,99110,269.0
152.0,1170000.0,0,2,0.0,0.0,200,58.5
70.0,1741.036884188806,0,1,0.0,0.0,62032,54.0
3776.0,9512.65477623171,434579,9,31600.39793572905,663.3397463198019,434579,258.375
61.0,3486.4980429562875,0,1,0.0,0.0,30403,53.0
1492.0,16.69308776053752,115976147,18,4616093.66875279,254.807509046862,115976147,56.94117647058823
122.0,3789.7877315701417,0,2,0.0,0.0,49607,47.0
0.0,0.0,6071886,4,3441255.8662425843,0.0,6071886,0.0
388.0,2524271.844660194,0,2,0.0,0.0,206,130.0
96.0,993788.8198757764,0,2,0.0,0.0,161,40.0
161.0,2942.768701156286,0,1,0.0,0.0,72041,106.0
388.0,2407407.407407408,0,2,0.0,0.0,216,130.0
250.0,1420168.0672268907,0,2,0.0,0.0,238,84.5
154.0,680597.0149253731,0,2,0.0,0.0,335,57.0
100.0,774193.5483870968,0,2,0.0,0.0,217,42.0
228.0,6121.487992465861,0,2,0.0,0.0,50968,78.0
98.0,1064935.0649350649,0,2,0.0,0.0,154,41.0
